iterationNumber,fitnessValue
0,68242.0
1,61599.0
2,61495.0
3,58645.0
4,68816.0
5,61661.0
6,67091.0
7,68719.0
8,67921.0
9,60513.0
10,66096.0
11,61971.0
12,68861.0
13,67290.0
14,64660.0
15,66750.0
16,60578.0
17,65201.0
18,64868.0
19,56485.0
20,67748.0
21,59095.0
22,66874.0
23,61793.0
24,63594.0
25,62701.0
26,69934.0
27,57886.0
28,65465.0
29,63262.0
30,64438.0
31,60665.0
32,67331.0
33,64034.0
34,65368.0
35,63000.0
36,64918.0
37,62263.0
38,60552.0
39,64108.0
40,71165.0
41,67833.0
42,66639.0
43,64389.0
44,60570.0
45,66920.0
46,62770.0
47,65892.0
48,71980.0
49,67777.0
50,64256.0
51,63757.0
52,67692.0
53,67903.0
54,62244.0
55,69038.0
56,61091.0
57,67528.0
58,63781.0
59,67767.0
60,64090.0
61,66753.0
62,60606.0
63,58674.0
64,65569.0
65,68057.0
66,66182.0
67,56143.0
68,63283.0
69,66194.0
70,64485.0
71,65399.0
72,63426.0
73,67375.0
74,63778.0
75,61429.0
76,68233.0
77,63054.0
78,65116.0
79,68300.0
80,66715.0
81,70376.0
82,63106.0
83,64141.0
84,69471.0
85,64764.0
86,67101.0
87,63301.0
88,66768.0
89,64293.0
90,64828.0
91,65125.0
92,64854.0
93,64535.0
94,66312.0
95,62656.0
96,67110.0
97,63682.0
98,66638.0
99,66765.0
100,64932.0
101,66313.0
102,64740.0
103,63996.0
104,58888.0
105,67534.0
106,65030.0
107,69222.0
108,56817.0
109,65950.0
110,66701.0
111,61908.0
112,66022.0
113,65520.0
114,70693.0
115,61907.0
116,71575.0
117,65900.0
118,57814.0
119,66463.0
120,65645.0
121,63549.0
122,66264.0
123,62608.0
124,62533.0
125,67421.0
126,61544.0
127,65501.0
128,56855.0
129,70186.0
130,66107.0
131,65819.0
132,61542.0
133,68065.0
134,59789.0
135,57649.0
136,65676.0
137,64119.0
138,62241.0
139,67934.0
140,67061.0
141,63925.0
142,60749.0
143,65484.0
144,71412.0
145,66070.0
146,63521.0
147,60226.0
148,63847.0
149,67178.0
150,68087.0
151,65600.0
152,66591.0
153,67560.0
154,60514.0
155,61308.0
156,62710.0
157,59904.0
158,71589.0
159,66763.0
160,67050.0
161,66267.0
162,61999.0
163,62612.0
164,69225.0
165,70105.0
166,62380.0
167,62100.0
168,59812.0
169,63034.0
170,63243.0
171,62974.0
172,66544.0
173,61017.0
174,62691.0
175,68117.0
176,67857.0
177,65806.0
178,70349.0
179,64610.0
180,63112.0
181,65484.0
182,67955.0
183,65836.0
184,63687.0
185,68268.0
186,71946.0
187,62542.0
188,63519.0
189,69495.0
190,64890.0
191,65890.0
192,66105.0
193,62946.0
194,65467.0
195,60706.0
196,64824.0
197,65645.0
198,63750.0
199,66860.0
